"","province","group"
"1","Beijing",1
"2","Tianjin",2
"3","Hebei",1
"4","Shanxi",1
"5","Inner Mongolia",1
"6","Liaoning",2
"7","Jilin",1
"8","Heilongjiang",1
"9","Shanghai",2
"10","Jiangsu",1
"11","Zhejiang",2
"12","Anhui",1
"13","Fujian",1
"14","Jiangxi",1
"15","Shandong",2
"16","Henan",2
"17","Hubei",1
"18","Hunan",2
"19","Guangdong",2
"20","Guangxi",1
"21","Hainan",1
"22","Chongqing",2
"23","Sichuan",1
"24","Guizhou",2
"25","Yunnan",2
"26","Shaanxi",2
"27","Gansu",1
"28","Qinghai",1
"29","Ningxia",1
"30","Xinjiang",1
